SMILE	label	Influence
CO[C@H]1Cc2ccc(NC(=O)c3ccc(-n4ccnc4)nc3)cc2C1	2.426	69535.07278583467
O=C([C@H]1CCCCS1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1	2.54	7116.2053302959575
Cc1ccc(F)cc1S(=O)(=O)N[C@H]1CCN2CCC[C@@H]2C1	2.218	26182.65860092706
O=C(Nc1ccc2ncccc2c1)c1ccc2[nH]c(=O)[nH]c2c1	2.318	27196.26208132095
O=C([C@H]1CCCNC1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1	2.564	28926.400712522794
C=CCc1ccccc1OC[C@H](O)CN[C@H]1CCN(C(=O)NCC)C1	0.584	-22565.681122769834
O=C(Nc1cccc2cccnc21)[C@H]1CCn2ccnc2C1	2.698	76257.57854618202
Cc1nc(C(=O)N2CCC3(CN(C(=O)[C@@H](C)C4CC4)C3)C2)cs1	1.954	-1299.4738367068785
Cc1cc(NC(=O)C(F)(F)F)ccc1N1CCOCC1	0.982	-4523.200415338841
CN(C(=O)Cc1ccccc1)[C@H]1CCN(CC[C@H]2CCCO2)C1	3.14	65151.1496237397
CNC(=O)c1ccc(Nc2cnc(OC)c(C)c2)cc1F	3.182	26114.846702731753
CC(=O)N1CCC[C@@H](CN2CCN(c3cccc(Cl)c3)CC2)C1	2.59	31038.114951962867
COC[C@@H](NC(=O)c1cc2ccsc2[nH]1)c1ccco1	3.098	41102.21554099742
O=C(c1cccc(C#CCO)c1)N1CCC(Nc2ccccn2)CC1	1.862	39087.531950593184
N#Cc1ccc(N2CC[C@@H](NC(=O)c3ccccc3)C2)nc1	2.334	15828.33011780263
COc1ccc2[nH]nc(NC(=O)COc3ccccc3C)c2c1	2.224	27905.651484346563
COc1cccc(C(=O)N2CCC(NC(=O)OC3CCCC3)CC2)c1	2.79	4764.86908426939
COCCCCN1CCN(C(=O)Nc2cccc(Cl)c2)CC1	2.404	51951.98240468386
Cc1ccc(C(=O)N2C[C@H](C)C[C@H](C)C2)cc1NC(=O)CO	1.988	10989.138366614976
O=C(COCc1ccccn1)N1CCC([C@@H]2CCCN2)CC1	2.162	96187.42735413038
COCc1ncsc1C(=O)N1CCC(Nc2ccccn2)CC1	1.862	38386.32609012721
CCC(=O)N1CC[C@@H](NC(=O)[C@@H](c2ccccc2)C2CC2)C1	1.314	32484.043108062102
CNC(=O)c1ccccc1NC(=O)/C=C\c1ccc(OC)c(OC)c1	2.488	43055.419671626085
CC#CCNC(=O)N[C@@H]1CCCN(C(=O)c2ccccc2)C1	2.242	-14780.635287553145
Cc1nc(C(=O)N2CC[C@]3(CCN(C(=O)[C@H]4CC45CC5)C3)C2)cs1	1.756	42711.266041465045
CCNC(=O)CCC(=O)N[C@@H]1CCN(CCc2ccccc2)C1	2.086	32393.269218005495
COc1ccc(N2CC[C@H](CNC(=O)[C@H]3CCC[C@@H]3C(=O)O)C2)cc1	1.588	-14647.30726254097
CCOc1cc(C(=O)N2CCC(Nc3cc(C)ncn3)CC2)ccn1	2.374	-16250.489623026733
CCOc1ccc(C(=O)N[C@@H]2CCS(=O)(=O)C2)cc1	1.618	7259.0534026599635
Cc1[nH]c2ccccc2c1CCNC(=O)NCc1cnn(C)c1	0.894	17408.353473892617
CC(=O)Nc1ccc(CC(=O)N(C)C2CC(NC/C=C/Cl)C2)cc1	1.96	22313.852684738697
CC(C)CCN1CCC(N(C)C(=O)c2cccn3ccnc23)CC1	3.24	-62512.84650562181
COc1ccc(CC(=O)N(CCO)[C@H](C)c2ccccc2)cc1OC	1.508	37445.909037935
O=C(COc1ccc(Cl)cc1)N1CC[C@H](CNc2ncccn2)C1	2.23	43851.334269293395
CCN1CCN(Cc2ccc(C(=O)Nc3ncccn3)cc2)CC1	1.958	7681.58036006055
C[C@H](CC(=O)NCC1(NC(=O)Cc2ccon2)CCC1)[C@@H]1CCCO1	1.248	13400.48553438155
O=C(N[C@@H]1CCCCCN(C(=O)c2ccccc2)C1)C1CCOCC1	1.554	21820.459980606316
CO[C@@H](C)CCC(=O)N[C@@H]1CCN(C(=O)c2ccccc2)C1	1.898	33230.42393184664
C[C@H](NC(=O)N1CCOC[C@@H]1C)c1cccc(N2CCCC2)c1	0.806	1761.069073395236
CCN(C(=O)Cc1ccc(C)cc1)[C@H]1CCN(CCO)C1	2.822	31783.44057034862
Cc1sc2ncnc(SCC(=O)N[C@@H]3C[C@H]4CC[C@@H]3O4)c2c1C	2.322	28428.781148683942
